#Datasets	MAS_A	MAS_B	UNS_A	UNS_B	MAS_av	UNS_Av
Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	330	350	583	575	340	579
5-FCL-like protein	214	223	210	197	218.5	203.5
TonB-dependent receptor	452	407	162	184	429.5	173
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	118	106	103	116	112	109.5
Adenylate cyclase (EC 4.6.1.1)	85	102	97	122	93.5	109.5
Beta-lactamase	72	83	111	95	77.5	103
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	78	70	90	90	74	90
Cobalt-zinc-cadmium resistance protein CzcA	41	42	72	58	41.5	65
COG2363	80	70	61	53	75	57
tolB protein precursor, periplasmic protein involved in the tonb-independent uptake of group A colicins	35	47	58	43	41	50.5
Dihydrofolate reductase (EC 1.5.1.3)	31	37	57	43	34	50
Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)	18	25	48	45	21.5	46.5
Aspartate aminotransferase (EC 2.6.1.1)	52	57	46	42	54.5	44
Beta-lactamase class C and other penicillin binding proteins	26	30	43	39	28	41
Beta-galactosidase (EC 3.2.1.23)	48	52	43	35	50	39
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	23	23	44	33	23	38.5
Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	30	34	38	36	32	37
UDP-glucose 4-epimerase (EC 5.1.3.2)	28	32	38	36	30	37
Alkaline phosphatase (EC 3.1.3.1)	45	35	41	33	40	37
Thioredoxin reductase (EC 1.8.1.9)	33	34	34	37	33.5	35.5
Beta-lactamase (EC 3.5.2.6)	30	35	40	30	32.5	35
Aldehyde dehydrogenase (EC 1.2.1.3)	35	37	32	35	36	33.5
5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	24	25	31	35	24.5	33
Trehalose synthase (EC 5.4.99.16)	12	20	34	30	16	32
Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	15	20	33	30	17.5	31.5
diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)	53	44	29	34	48.5	31.5
Acetyl-coenzyme A synthetase (EC 6.2.1.1)	26	26	29	33	26	31
Chaperone protein DnaK	23	28	34	26	25.5	30
3-ketoacyl-CoA thiolase (EC 2.3.1.16)	33	34	28	30	33.5	29
Threonine dehydrogenase and related Zn-dependent dehydrogenases	23	23	32	26	23	29
Enoyl-CoA hydratase (EC 4.2.1.17)	34	32	33	24	33	28.5
RNA polymerase sigma-54 factor RpoN	28	26	28	29	27	28.5
Acriflavin resistance protein	38	42	26	30	40	28
FIG039061: hypothetical protein related to heme utilization	42	37	21	35	39.5	28
DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)	26	32	31	24	29	27.5
Arylsulfatase (EC 3.1.6.1)	24	27	31	22	25.5	26.5
Alcohol dehydrogenase (EC 1.1.1.1)	27	19	25	26	23	25.5
Aconitate hydratase (EC 4.2.1.3)	22	28	20	30	25	25
Cytochrome c oxidase polypeptide III (EC 1.9.3.1)	18	19	23	27	18.5	25
Multicopper oxidase	15	18	27	23	16.5	25
Glucoamylase (EC 3.2.1.3)	17	21	25	24	19	24.5
Alanyl-tRNA synthetase (EC 6.1.1.7)	31	22	19	30	26.5	24.5
D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	24	28	20	28	26	24
Butyryl-CoA dehydrogenase (EC 1.3.99.2)	18	26	22	26	22	24
High-affnity carbon uptake protein Hat/HatR	9	10	22	26	9.5	24
Myo-inositol 2-dehydrogenase (EC 1.1.1.18)	20	21	24	24	20.5	24
DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)	29	36	24	23	32.5	23.5
Heat shock protein 60 family chaperone GroEL	20	20	24	22	20	23
Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	26	21	21	25	23.5	23
Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	25	22	24	21	23.5	22.5
Phosphoenolpyruvate synthase (EC 2.7.9.2)	24	20	22	22	22	22
DNA polymerase III alpha subunit (EC 2.7.7.7)	30	31	22	22	30.5	22
Cytochrome c oxidase polypeptide I (EC 1.9.3.1)	16	19	23	21	17.5	22
Polyphosphate kinase (EC 2.7.4.1)	20	19	21	23	19.5	22
Permease of the drug/metabolite transporter (DMT) superfamily	29	35	19	25	32	22
dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	18	20	17	26	19	21.5
ATP-dependent Clp protease ATP-binding subunit ClpA	19	22	24	19	20.5	21.5
RNA polymerase sigma factor RpoE	9	13	21	22	11	21.5
Rubrerythrin	20	20	23	20	20	21.5
Excinuclease ABC subunit A	21	15	25	17	18	21
Citrate synthase (si) (EC 2.3.3.1)	21	14	16	25	17.5	20.5
Ubiquinone biosynthesis monooxygenase UbiB	25	22	18	23	23.5	20.5
Translation elongation factor Tu	15	20	20	21	17.5	20.5
ATP-dependent DNA helicase RecQ	17	20	19	21	18.5	20
Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77)	32	37	21	19	34.5	20
Argininosuccinate synthase (EC 6.3.4.5)	17	17	16	23	17	19.5
Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	10	14	21	18	12	19.5
NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	27	26	21	18	26.5	19.5
DNA polymerase I (EC 2.7.7.7)	27	25	22	17	26	19.5
Kup system potassium uptake protein	30	37	17	22	33.5	19.5
Glycogen debranching enzyme (EC 3.2.1.-)	12	13	15	23	12.5	19
DNA gyrase subunit A (EC 5.99.1.3)	19	16	20	18	17.5	19
ATP-dependent DNA ligase (EC 6.5.1.1) clustered with Ku protein, LigD	27	25	22	15	26	18.5
Cysteine desulfurase (EC 2.8.1.7)	27	21	19	17	24	18
Choline-sulfatase (EC 3.1.6.6)	9	9	17	19	9	18
