# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Bacteria	p__Acidobacteria	c__Acidobacteria subdivision 6	o__	f__Vicinamibacteraceae	g__Luteitalea	0	35378	17324	18228
k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Acidobacterium	7706	3830	1897	2032
k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Candidatus Koribacter	6913	3357	1578	1776
k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Granulicella	7562	4088	2043	2202
k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Terriglobus	5879	4792	2343	2661
k__Bacteria	p__Acidobacteria	c__Blastocatellia	o__	f__	g__Chloracidobacterium	3683	2002	912	1037
k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__Solibacteraceae	g__Candidatus Solibacter	16198	7952	3902	4341
k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__Acidimicrobium	2446	1734	778	818
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Acidothermales	f__Acidothermaceae	g__Acidothermus	1461	855	447	430
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	11264	7960	5115	5306
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinotignum	796	438	278	276
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Arcanobacterium	79	166	94	76
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Mobiluncus	191	129	69	89
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Trueperella	20	581	249	308
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinopolysporales	f__Actinopolysporaceae	g__Actinopolyspora	2324	1240	768	839
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	4022	12733	6831	6296
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Gardnerella	6	52	40	40
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Parascardovia	260	146	96	84
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Scardovia	32	34	15	16
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Candidatus Nanopelagicales	f__Candidatus Nanopelagicaceae	g__Candidatus Nanopelagicus	815	535	236	252
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Candidatus Nanopelagicales	f__Candidatus Nanopelagicaceae	g__Candidatus Planktophila	532	496	224	228
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Catenulisporales	f__Catenulisporaceae	g__Catenulispora	6807	4121	2856	2736
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Catenulisporales	f__Catenulisporaceae	g__Thermobispora	4841	2723	1958	1785
