# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Eukaryota	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae	g__Cercospora	1381	1253	1028	1091
k__Eukaryota	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae	g__Zymoseptoria	1817	1828	1516	1497
k__Eukaryota	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	2180	2204	2047	2038
k__Eukaryota	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	g__Botrytis	1268	1197	824	968
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Candida	506	476	426	473
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Debaryomyces	71	57	72	68
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Scheffersomyces	127	108	113	147
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Dipodascaceae	g__Yarrowia	964	948	851	886
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Phaffomycetaceae	g__Komagataella	91	77	62	63
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Ogataea	437	411	414	434
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Eremothecium	2394	2442	2666	2646
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Kazachstania	422	495	351	409
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Kluyveromyces	267	235	226	279
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Lachancea	634	671	660	592
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Nakaseomyces	225	230	143	176
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Naumovozyma	233	174	162	240
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	246	212	186	216
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Tetrapisispora	252	244	228	208
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Torulaspora	94	76	82	94
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces	88	80	53	87
k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Trichomonascaceae	g__Sugiyamaella	343	283	212	247
k__Eukaryota	p__Ascomycota	c__Schizosaccharomycetes	o__Schizosaccharomycetales	f__Schizosaccharomycetaceae	g__Schizosaccharomyces	1269	1206	1267	1385
k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Glomerellaceae	g__Colletotrichum	8110	8353	7728	7976
k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae	g__Pochonia	1115	1097	1120	1126
k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	8600	8352	9614	9290
k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Magnaporthales	f__Magnaporthaceae	g__Magnaporthe	3294	3325	3209	3147
k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Thermothelomyces	6864	7041	7667	7220
k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Thielavia	11532	11939	12548	12253
k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Sordariaceae	g__Neurospora	2274	2425	2569	2468
k__Eukaryota	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Cryptococcaceae	g__Cryptococcus	1081	915	933	923
k__Eukaryota	p__Basidiomycota	c__Ustilaginomycetes	o__Ustilaginales	f__Ustilaginaceae	g__Ustilago	3254	3078	2466	2769
k__Eukaryota	p__Microsporidia	c__	o__	f__Unikaryonidae	g__Encephalitozoon	98	99	88	115
