# Constructed from biom file
#OTU ID	control15_bracken	control25_bracken	maiz25_bracken	maiz35_bracken
k__Eukaryota;p__;c__;o__Kinetoplastida;f__Trypanosomatidae;g__Leishmania;s__braziliensis	2584.0	2437.0	2344.0	2385.0
k__Eukaryota;p__;c__;o__Kinetoplastida;f__Trypanosomatidae;g__Leishmania;s__donovani	3256.0	2852.0	2918.0	3145.0
k__Eukaryota;p__;c__;o__Kinetoplastida;f__Trypanosomatidae;g__Leishmania;s__infantum	2036.0	2231.0	2089.0	1871.0
k__Eukaryota;p__;c__;o__Kinetoplastida;f__Trypanosomatidae;g__Leishmania;s__major	6108.0	6364.0	6312.0	6147.0
k__Eukaryota;p__;c__;o__Kinetoplastida;f__Trypanosomatidae;g__Leishmania;s__mexicana	5927.0	6099.0	5868.0	5720.0
k__Eukaryota;p__;c__;o__Kinetoplastida;f__Trypanosomatidae;g__Leishmania;s__panamensis	2069.0	2182.0	1993.0	2017.0
k__Eukaryota;p__;c__;o__Kinetoplastida;f__Trypanosomatidae;g__Trypanosoma;s__brucei	759.0	749.0	692.0	613.0
k__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida;f__Plasmodiidae;g__Plasmodium;s__berghei	115.0	112.0	126.0	144.0
k__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida;f__Plasmodiidae;g__Plasmodium;s__chabaudi	147.0	145.0	158.0	169.0
k__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida;f__Plasmodiidae;g__Plasmodium;s__coatneyi	532.0	504.0	442.0	519.0
k__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida;f__Plasmodiidae;g__Plasmodium;s__cynomolgi	787.0	745.0	551.0	661.0
k__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida;f__Plasmodiidae;g__Plasmodium;s__falciparum	94.0	86.0	54.0	126.0
k__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida;f__Plasmodiidae;g__Plasmodium;s__gaboni	97.0	85.0	89.0	91.0
k__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida;f__Plasmodiidae;g__Plasmodium;s__knowlesi	326.0	315.0	247.0	255.0
k__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida;f__Plasmodiidae;g__Plasmodium;s__malariae	270.0	238.0	225.0	283.0
k__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida;f__Plasmodiidae;g__Plasmodium;s__reichenowi	117.0	94.0	86.0	104.0
k__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida;f__Plasmodiidae;g__Plasmodium;s__relictum	163.0	145.0	180.0	178.0
k__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida;f__Plasmodiidae;g__Plasmodium;s__sp. gorilla clade G2	85.0	66.0	78.0	97.0
