# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Viroids	p__	c__	o__	f__	g__	0	0	0	1
k__Viroids	p__	c__	o__	f__Pospiviroidae	g__Apscaviroid	0	0	1	0
k__Viroids	p__	c__	o__	f__Pospiviroidae	g__Coleviroid	4	1	1	0
k__Viroids	p__	c__	o__	f__Pospiviroidae	g__Hostuviroid	0	0	1	0
k__Viroids	p__	c__	o__	f__Pospiviroidae	g__Pospiviroid	1	1	2	0
k__Viruses	p__	c__	o__Bunyavirales	f__Alvernaviridae	g__Dinornavirus	1270	1284	1063	1118
k__Viruses	p__	c__	o__Bunyavirales	f__Amalgaviridae	g__	0	0	1	0
k__Viruses	p__	c__	o__Bunyavirales	f__Amalgaviridae	g__Amalgavirus	10	18	29	2
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Alphatorquevirus	13	8	25	6
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Betatorquevirus	9	4	6	2
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Epsilontorquevirus	7	9	8	20
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Etatorquevirus	4	6	3	1
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Gammatorquevirus	0	0	0	3
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Gyrovirus	5	7	1	1
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Iotatorquevirus	0	0	0	2
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Lambdatorquevirus	0	1	0	2
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Thetatorquevirus	1	0	0	0
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Zetatorquevirus	2	0	1	1
k__Viruses	p__	c__	o__Bunyavirales	f__Arenaviridae	g__Arenavirus	26	35	30	25
k__Viruses	p__	c__	o__Bunyavirales	f__Arenaviridae	g__Mammarenavirus	58	69	57	55
k__Viruses	p__	c__	o__Bunyavirales	f__Arenaviridae	g__Reptarenavirus	9	12	8	9
k__Viruses	p__	c__	o__Bunyavirales	f__Aspiviridae	g__Deltavirus	0	1	0	0
k__Viruses	p__	c__	o__Bunyavirales	f__Aspiviridae	g__Ophiovirus	9	4	4	5
k__Viruses	p__	c__	o__Bunyavirales	f__Aspiviridae	g__Tilapinevirus	0	3	1	1
k__Viruses	p__	c__	o__Bunyavirales	f__Bacilladnaviridae	g__Bacilladnavirus	2	1	1	3
k__Viruses	p__	c__	o__Bunyavirales	f__Bacilladnaviridae	g__Kieseladnavirus	3	0	0	0
k__Viruses	p__	c__	o__Bunyavirales	f__Bacilladnaviridae	g__Protobacilladnavirus	1	1	0	2
k__Viruses	p__	c__	o__Bunyavirales	f__Bidnaviridae	g__Bidensovirus	22	5	7	7
k__Viruses	p__	c__	o__Bunyavirales	f__Birnaviridae	g__Aquabirnavirus	4	6	6	11
k__Viruses	p__	c__	o__Bunyavirales	f__Birnaviridae	g__Avibirnavirus	1	0	0	2
k__Viruses	p__	c__	o__Bunyavirales	f__Birnaviridae	g__Blosnavirus	1	0	2	2
k__Viruses	p__	c__	o__Bunyavirales	f__Birnaviridae	g__Entomobirnavirus	1	1	1	1
k__Viruses	p__	c__	o__Bunyavirales	f__Chrysoviridae	g__Chrysovirus	10	10	9	9
k__Viruses	p__	c__	o__Bunyavirales	f__Circoviridae	g__	26	28	21	34
k__Viruses	p__	c__	o__Bunyavirales	f__Circoviridae	g__Circovirus	16	13	8	6
k__Viruses	p__	c__	o__Bunyavirales	f__Circoviridae	g__Cyclovirus	22	27	20	11
k__Viruses	p__	c__	o__Bunyavirales	f__Cystoviridae	g__	15	7	8	12
k__Viruses	p__	c__	o__Bunyavirales	f__Cystoviridae	g__Cystovirus	5	3	8	8
k__Viruses	p__	c__	o__Bunyavirales	f__Endornaviridae	g__	27	25	15	23
k__Viruses	p__	c__	o__Bunyavirales	f__Endornaviridae	g__Alphaendornavirus	38	36	35	28
k__Viruses	p__	c__	o__Bunyavirales	f__Endornaviridae	g__Betaendornavirus	21	16	10	18
k__Viruses	p__	c__	o__Bunyavirales	f__Fimoviridae	g__Emaravirus	13	19	14	10
k__Viruses	p__	c__	o__Bunyavirales	f__Fusariviridae	g__	7	13	8	12
k__Viruses	p__	c__	o__Bunyavirales	f__Geminiviridae	g__Becurtovirus	3	6	1	3
k__Viruses	p__	c__	o__Bunyavirales	f__Geminiviridae	g__Begomovirus	183	181	200	212
k__Viruses	p__	c__	o__Bunyavirales	f__Geminiviridae	g__Capulavirus	3	1	0	0
k__Viruses	p__	c__	o__Bunyavirales	f__Geminiviridae	g__Curtovirus	3	8	12	10
k__Viruses	p__	c__	o__Bunyavirales	f__Geminiviridae	g__Eragrovirus	1	0	0	0
k__Viruses	p__	c__	o__Bunyavirales	f__Geminiviridae	g__Mastrevirus	20	23	11	13
k__Viruses	p__	c__	o__Bunyavirales	f__Geminiviridae	g__Turncurtovirus	0	0	0	2
k__Viruses	p__	c__	o__Bunyavirales	f__Genomoviridae	g__Gemycircularvirus	15	8	10	15
k__Viruses	p__	c__	o__Bunyavirales	f__Genomoviridae	g__Gemygorvirus	2	8	5	1
k__Viruses	p__	c__	o__Bunyavirales	f__Genomoviridae	g__Gemykibivirus	6	2	4	4
k__Viruses	p__	c__	o__Bunyavirales	f__Genomoviridae	g__Gemykrogvirus	1	0	0	0
k__Viruses	p__	c__	o__Bunyavirales	f__Genomoviridae	g__Gemykroznavirus	0	3	1	2
k__Viruses	p__	c__	o__Bunyavirales	f__Genomoviridae	g__Gemytondvirus	0	1	1	0
k__Viruses	p__	c__	o__Bunyavirales	f__Hantaviridae	g__Orthohantavirus	37	45	31	39
k__Viruses	p__	c__	o__Bunyavirales	f__Hypoviridae	g__Hypovirus	32	29	18	28
k__Viruses	p__	c__	o__Bunyavirales	f__Inoviridae	g__	16	30	31	30
k__Viruses	p__	c__	o__Bunyavirales	f__Inoviridae	g__Fibrovirus	1	2	3	3
k__Viruses	p__	c__	o__Bunyavirales	f__Inoviridae	g__Habenivirus	4	5	2	3
k__Viruses	p__	c__	o__Bunyavirales	f__Inoviridae	g__Inovirus	22	22	24	20
k__Viruses	p__	c__	o__Bunyavirales	f__Inoviridae	g__Lineavirus	3	0	5	0
k__Viruses	p__	c__	o__Bunyavirales	f__Inoviridae	g__Plectrovirus	4	0	1	0
