# Constructed from biom file
#OTU ID	control15Bracken	control25Bracken	maiz25Bracken	maiz35Bracken
k__Viroids;p__;c__;o__;f__;g__;s__Grapevine latent viroid	0.0	0.0	0.0	1.0
k__Viroids;p__;c__;o__;f__Pospiviroidae;g__Apscaviroid;s__Lychee viroid-like RNA	0.0	0.0	1.0	0.0
k__Viroids;p__;c__;o__;f__Pospiviroidae;g__Coleviroid;s__Coleus blumei viroid 2	4.0	1.0	1.0	0.0
k__Viroids;p__;c__;o__;f__Pospiviroidae;g__Hostuviroid;s__Dahlia latent viroid	0.0	0.0	1.0	0.0
k__Viroids;p__;c__;o__;f__Pospiviroidae;g__Pospiviroid;s__Citrus exocortis viroid	1.0	0.0	0.0	0.0
k__Viroids;p__;c__;o__;f__Pospiviroidae;g__Pospiviroid;s__Mexican papita viroid	0.0	0.0	1.0	0.0
k__Viroids;p__;c__;o__;f__Pospiviroidae;g__Pospiviroid;s__Portulaca latent viroid	0.0	1.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Abisko virus	1.0	0.0	1.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Adelphocoris suturalis virus	1.0	2.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai Nido-like virus 1	3.0	1.0	1.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai Nido-like virus 2	10.0	6.0	10.0	7.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai anemone virus 1	0.0	1.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai astro-like virus	1.0	1.0	1.0	2.0
