# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Archaea	p__Candidatus Korarchaeota	c__	o__	f__	g__Candidatus Korarchaeum	0.00071266	0.00066483	0.000401768	0.000521342
k__Archaea	p__Candidatus Micrarchaeota	c__	o__	f__	g__	0.000621783	0.000722225	0.001071381	0.001090513
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Acidilobales	f__Acidilobaceae	g__Acidilobus	0.002429738	0.002118847	0.002013622	0.002032754
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Acidilobales	f__Caldisphaeraceae	g__Caldisphaera	0.000205667	0.000205667	0.000143488	0.00016262
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Desulfurococcales	f__Desulfurococcaceae	g__Desulfurococcus	0.002185808	0.002300599	0.00374505	0.003945934
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Desulfurococcales	f__Desulfurococcaceae	g__Ignicoccus	0.001133559	0.001277048	0.001114427	0.0010379
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Desulfurococcales	f__Desulfurococcaceae	g__Staphylothermus	0.000220016	0.000263062	0.000186535	0.000200884
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Desulfurococcales	f__Desulfurococcaceae	g__Thermogladius	0.001234001	0.001190954	0.001358358	0.001157474
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Desulfurococcales	f__Desulfurococcaceae	g__Thermosphaera	0.000105225	0.00012914	5.74E-05	0.000100442
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Desulfurococcales	f__Pyrodictiaceae	g__Hyperthermus	0.000435248	0.000463946	0.000487861	0.000564388
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Desulfurococcales	f__Pyrodictiaceae	g__Pyrodictium	0.001023551	0.001013985	0.000837016	0.000980505
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Desulfurococcales	f__Pyrodictiaceae	g__Pyrolobus	0.001143125	0.001267482	0.001568808	0.001420536
