# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Bacteria	p__Acidobacteria	c__Acidobacteria subdivision 6	o__	f__Vicinamibacteraceae	g__Luteitalea	0	0.008566981	0.004195104	0.004414012
k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Acidobacterium	0.001866051	0.000927456	0.000459369	0.00049206
k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Candidatus Koribacter	0.001674022	0.000812916	0.000382122	0.000430068
k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Granulicella	0.001831181	0.000989932	0.000494724	0.000533227
k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Terriglobus	0.001423633	0.00116041	0.000567371	0.000644376
k__Bacteria	p__Acidobacteria	c__Blastocatellia	o__	f__	g__Chloracidobacterium	0.000891859	0.000484796	0.000220846	0.000251115
k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__Solibacteraceae	g__Candidatus Solibacter	0.003922437	0.001925621	0.000944891	0.001051198
k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__Acidimicrobium	0.000592313	0.000419898	0.000188397	0.000198083
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Acidothermales	f__Acidothermaceae	g__Acidothermus	0.000353789	0.000207043	0.000108244	0.000104127
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	0.002727641	0.001927559	0.001238626	0.001284878
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinotignum	0.000192756	0.000106064	6.73E-05	6.68E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Arcanobacterium	1.91E-05	4.02E-05	2.28E-05	1.84E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Mobiluncus	4.63E-05	3.12E-05	1.67E-05	2.16E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Trueperella	4.84E-06	0.000140692	6.03E-05	7.46E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinopolysporales	f__Actinopolysporaceae	g__Actinopolyspora	0.00056277	0.000300273	0.000185976	0.000203169
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	0.00097395	0.003083367	0.001654165	0.001524612
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Gardnerella	1.45E-06	1.26E-05	9.69E-06	9.69E-06
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Parascardovia	6.30E-05	3.54E-05	2.32E-05	2.03E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Scardovia	7.75E-06	8.23E-06	3.63E-06	3.87E-06
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Candidatus Nanopelagicales	f__Candidatus Nanopelagicaceae	g__Candidatus Nanopelagicus	0.000197357	0.000129553	5.71E-05	6.10E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Candidatus Nanopelagicales	f__Candidatus Nanopelagicaceae	g__Candidatus Planktophila	0.000128827	0.000120109	5.42E-05	5.52E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Catenulisporales	f__Catenulisporaceae	g__Catenulispora	0.001648353	0.000997923	0.000691596	0.000662538
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Catenulisporales	f__Catenulisporaceae	g__Thermobispora	0.001172275	0.00065939	0.000474141	0.000432248
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	0.006773092	0.005539067	0.003562351	0.003577849
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Dietziaceae	g__Dietzia	0.001635035	0.001293111	0.000887016	0.000857231
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Gordoniaceae	g__Gordonia	0.003826543	0.002818207	0.00183675	0.001838203
