# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Viroids	p__	c__	o__	f__	g__	0	0	0	2.34E-05
k__Viroids	p__	c__	o__	f__Pospiviroidae	g__Apscaviroid	0	0	2.34E-05	0
k__Viroids	p__	c__	o__	f__Pospiviroidae	g__Coleviroid	9.37E-05	2.34E-05	2.34E-05	0
k__Viroids	p__	c__	o__	f__Pospiviroidae	g__Hostuviroid	0	0	2.34E-05	0
k__Viroids	p__	c__	o__	f__Pospiviroidae	g__Pospiviroid	2.34E-05	2.34E-05	4.68E-05	0
k__Viruses	p__	c__	o__Bunyavirales	f__Alvernaviridae	g__Dinornavirus	0.029740299	0.030068145	0.024892865	0.02618083
k__Viruses	p__	c__	o__Bunyavirales	f__Amalgaviridae	g__	0	0	2.34E-05	0
k__Viruses	p__	c__	o__Bunyavirales	f__Amalgaviridae	g__Amalgavirus	0.000234176	0.000421516	0.000679109	4.68E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Alphatorquevirus	0.000304428	0.00018734	0.000585439	0.000140505
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Betatorquevirus	0.000210758	9.37E-05	0.000140505	4.68E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Epsilontorquevirus	0.000163923	0.000210758	0.00018734	0.000468351
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Etatorquevirus	9.37E-05	0.000140505	7.03E-05	2.34E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Gammatorquevirus	0	0	0	7.03E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Gyrovirus	0.000117088	0.000163923	2.34E-05	2.34E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Iotatorquevirus	0	0	0	4.68E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Lambdatorquevirus	0	2.34E-05	0	4.68E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Thetatorquevirus	2.34E-05	0	0	0
k__Viruses	p__	c__	o__Bunyavirales	f__Anelloviridae	g__Zetatorquevirus	4.68E-05	0	2.34E-05	2.34E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Arenaviridae	g__Arenavirus	0.000608857	0.000819615	0.000702527	0.000585439
k__Viruses	p__	c__	o__Bunyavirales	f__Arenaviridae	g__Mammarenavirus	0.001358218	0.001615812	0.001334801	0.001287966
k__Viruses	p__	c__	o__Bunyavirales	f__Arenaviridae	g__Reptarenavirus	0.000210758	0.000281011	0.00018734	0.000210758
k__Viruses	p__	c__	o__Bunyavirales	f__Aspiviridae	g__Deltavirus	0	2.34E-05	0	0
k__Viruses	p__	c__	o__Bunyavirales	f__Aspiviridae	g__Ophiovirus	0.000210758	9.37E-05	9.37E-05	0.000117088
k__Viruses	p__	c__	o__Bunyavirales	f__Aspiviridae	g__Tilapinevirus	0	7.03E-05	2.34E-05	2.34E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Bacilladnaviridae	g__Bacilladnavirus	4.68E-05	2.34E-05	2.34E-05	7.03E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Bacilladnaviridae	g__Kieseladnavirus	7.03E-05	0	0	0
k__Viruses	p__	c__	o__Bunyavirales	f__Bacilladnaviridae	g__Protobacilladnavirus	2.34E-05	2.34E-05	0	4.68E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Bidnaviridae	g__Bidensovirus	0.000515186	0.000117088	0.000163923	0.000163923
k__Viruses	p__	c__	o__Bunyavirales	f__Birnaviridae	g__Aquabirnavirus	9.37E-05	0.000140505	0.000140505	0.000257593
k__Viruses	p__	c__	o__Bunyavirales	f__Birnaviridae	g__Avibirnavirus	2.34E-05	0	0	4.68E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Birnaviridae	g__Blosnavirus	2.34E-05	0	4.68E-05	4.68E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Birnaviridae	g__Entomobirnavirus	2.34E-05	2.34E-05	2.34E-05	2.34E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Chrysoviridae	g__Chrysovirus	0.000234176	0.000234176	0.000210758	0.000210758
k__Viruses	p__	c__	o__Bunyavirales	f__Circoviridae	g__	0.000608857	0.000655692	0.000491769	0.000796197
k__Viruses	p__	c__	o__Bunyavirales	f__Circoviridae	g__Circovirus	0.000374681	0.000304428	0.00018734	0.000140505
k__Viruses	p__	c__	o__Bunyavirales	f__Circoviridae	g__Cyclovirus	0.000515186	0.000632274	0.000468351	0.000257593
k__Viruses	p__	c__	o__Bunyavirales	f__Cystoviridae	g__	0.000351263	0.000163923	0.00018734	0.000281011
k__Viruses	p__	c__	o__Bunyavirales	f__Cystoviridae	g__Cystovirus	0.000117088	7.03E-05	0.00018734	0.00018734
k__Viruses	p__	c__	o__Bunyavirales	f__Endornaviridae	g__	0.000632274	0.000585439	0.000351263	0.000538604
k__Viruses	p__	c__	o__Bunyavirales	f__Endornaviridae	g__Alphaendornavirus	0.000889867	0.000843032	0.000819615	0.000655692
k__Viruses	p__	c__	o__Bunyavirales	f__Endornaviridae	g__Betaendornavirus	0.000491769	0.000374681	0.000234176	0.000421516
k__Viruses	p__	c__	o__Bunyavirales	f__Fimoviridae	g__Emaravirus	0.000304428	0.000444934	0.000327846	0.000234176
k__Viruses	p__	c__	o__Bunyavirales	f__Fusariviridae	g__	0.000163923	0.000304428	0.00018734	0.000281011
k__Viruses	p__	c__	o__Bunyavirales	f__Geminiviridae	g__Becurtovirus	7.03E-05	0.000140505	2.34E-05	7.03E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Geminiviridae	g__Begomovirus	0.004285413	0.004238578	0.004683512	0.004964522
k__Viruses	p__	c__	o__Bunyavirales	f__Geminiviridae	g__Capulavirus	7.03E-05	2.34E-05	0	0
k__Viruses	p__	c__	o__Bunyavirales	f__Geminiviridae	g__Curtovirus	7.03E-05	0.00018734	0.000281011	0.000234176
k__Viruses	p__	c__	o__Bunyavirales	f__Geminiviridae	g__Eragrovirus	2.34E-05	0	0	0
k__Viruses	p__	c__	o__Bunyavirales	f__Geminiviridae	g__Mastrevirus	0.000468351	0.000538604	0.000257593	0.000304428
k__Viruses	p__	c__	o__Bunyavirales	f__Geminiviridae	g__Turncurtovirus	0	0	0	4.68E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Genomoviridae	g__Gemycircularvirus	0.000351263	0.00018734	0.000234176	0.000351263
k__Viruses	p__	c__	o__Bunyavirales	f__Genomoviridae	g__Gemygorvirus	4.68E-05	0.00018734	0.000117088	2.34E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Genomoviridae	g__Gemykibivirus	0.000140505	4.68E-05	9.37E-05	9.37E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Genomoviridae	g__Gemykrogvirus	2.34E-05	0	0	0
k__Viruses	p__	c__	o__Bunyavirales	f__Genomoviridae	g__Gemykroznavirus	0	7.03E-05	2.34E-05	4.68E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Genomoviridae	g__Gemytondvirus	0	2.34E-05	2.34E-05	0
k__Viruses	p__	c__	o__Bunyavirales	f__Hantaviridae	g__Orthohantavirus	0.00086645	0.00105379	0.000725944	0.000913285
k__Viruses	p__	c__	o__Bunyavirales	f__Hypoviridae	g__Hypovirus	0.000749362	0.000679109	0.000421516	0.000655692
k__Viruses	p__	c__	o__Bunyavirales	f__Inoviridae	g__	0.000374681	0.000702527	0.000725944	0.000702527
k__Viruses	p__	c__	o__Bunyavirales	f__Inoviridae	g__Fibrovirus	2.34E-05	4.68E-05	7.03E-05	7.03E-05
k__Viruses	p__	c__	o__Bunyavirales	f__Inoviridae	g__Habenivirus	9.37E-05	0.000117088	4.68E-05	7.03E-05
